file	lines	last_commit_date	days_since_change	has_oas_import	ref_count	category	suggested_action	reason
handover_eio.ml	316	2026-03-18	0	no	1	infrastructure	active	recently_modified
hat.ml	267	2026-03-13	4	no	0	infrastructure	active	recently_modified
heartbeat_smart.ml	84	2026-03-13	4	no	1	infrastructure	active	recently_modified
heartbeat.ml	53	2026-03-13	4	no	3	infrastructure	active	recently_modified
hebbian_eio.ml	285	2026-03-18	0	no	1	infrastructure	active	recently_modified
http_server_eio.ml	666	2026-03-18	0	no	2	infrastructure	active	recently_modified
http_server_h2.ml	319	2026-03-16	1	no	0	infrastructure	active	recently_modified
institution_eio.ml	673	2026-03-18	0	no	3	infrastructure	active	recently_modified
json_util.ml	124	2026-03-16	1	no	5	infrastructure	active	recently_modified
keeper_alerting_path.ml	74	2026-03-18	0	yes	0	keeper	active	oas_integrated
keeper_alerting.ml	893	2026-03-18	0	yes	1	keeper	active	oas_integrated
keeper_autonomy.ml	250	2026-03-18	0	yes	8	keeper	active	oas_integrated
keeper_chat_ag_ui.ml	140	2026-03-17	0	no	0	keeper	active	recently_modified
keeper_config.ml	555	2026-03-17	0	no	5	keeper	active	recently_modified
keeper_contract.ml	116	2026-03-16	1	no	13	keeper	active	recently_modified
keeper_coordination.ml	189	2026-03-17	0	no	0	keeper	active	recently_modified
keeper_deliberation.ml	601	2026-03-17	0	no	3	keeper	active	recently_modified
keeper_exec_autonomy.ml	583	2026-03-18	0	yes	0	keeper	active	oas_integrated
keeper_exec_context.ml	814	2026-03-18	0	yes	1	keeper	active	oas_integrated
keeper_exec_persona.ml	393	2026-03-13	4	no	1	keeper	active	recently_modified
keeper_exec_proactive.ml	733	2026-03-18	0	yes	0	keeper	active	oas_integrated
keeper_exec_social.ml	650	2026-03-18	0	yes	0	keeper	active	oas_integrated
keeper_exec_status.ml	863	2026-03-18	0	no	5	keeper	active	recently_modified
keeper_exec_tools.ml	877	2026-03-18	0	no	1	keeper	active	recently_modified
keeper_execution.ml	45	2026-03-17	0	no	4	keeper	active	recently_modified
keeper_feedback_tool.ml	47	2026-03-16	1	no	0	keeper	active	recently_modified
