file	lines	category	action	reason	has_oas	ref_count
error.ml	166	infrastructure	active	referenced_infra	no	9
eval_gate.ml	341	infrastructure	active	referenced_infra	no	4
eval_harness.ml	495	infrastructure	active	referenced_infra	no	1
federation_types.ml	325	types	active	types_or_config	no	0
federation.ml	745	infrastructure	archive	unreferenced_infra	no	0
file_lock_eio.ml	60	infrastructure	active	referenced_infra	no	1
game_view_state.ml	513	infrastructure	active	referenced_infra	no	3
gardener_decisions.ml	644	infrastructure	archive	unreferenced_infra	no	0
gardener_health.ml	285	infrastructure	archive	unreferenced_infra	no	0
gardener_state.ml	202	infrastructure	archive	unreferenced_infra	no	0
gardener_types.ml	411	types	active	types_or_config	no	0
gardener.ml	654	infrastructure	active	referenced_infra	yes	6
gcm_compat.ml	2	infrastructure	archive	unreferenced_infra	no	0
generational_metrics.ml	338	infrastructure	active	referenced_infra	no	1
glm_pool.ml	316	infrastructure	active	referenced_infra	no	2
goal_guard.ml	43	infrastructure	active	referenced_infra	no	1
goal_orchestrator.ml	148	infrastructure	active	referenced_infra	no	2
goal_scheduler.ml	60	infrastructure	active	referenced_infra	no	1
goal_store.ml	399	infrastructure	active	referenced_infra	no	7
governance_registry.ml	235	infrastructure	active	referenced_infra	no	6
graphql_api.ml	709	infrastructure	active	referenced_infra	no	2
graphql_client.ml	191	infrastructure	active	referenced_infra	no	5
graphql_endpoint.ml	65	infrastructure	active	referenced_infra	no	2
guardian.ml	371	infrastructure	active	referenced_infra	yes	6
handoff_quality.ml	53	infrastructure	active	referenced_infra	no	2
handover_eio.ml	316	infrastructure	active	referenced_infra	no	1
hat.ml	267	infrastructure	archive	unreferenced_infra	no	0
heartbeat_smart.ml	84	infrastructure	active	referenced_infra	no	1
heartbeat.ml	53	infrastructure	active	referenced_infra	no	3
hebbian_eio.ml	285	infrastructure	active	referenced_infra	no	1
http_server_eio.ml	666	infrastructure	active	referenced_infra	no	2
http_server_h2.ml	319	infrastructure	archive	unreferenced_infra	no	0
institution_eio.ml	673	infrastructure	active	referenced_infra	no	3
json_util.ml	124	infrastructure	active	referenced_infra	no	5
keeper_alerting_path.ml	74	keeper	active	keeper_system	yes	0
keeper_alerting.ml	893	keeper	active	keeper_system	yes	1
keeper_autonomy.ml	250	keeper	active	keeper_system	yes	8
keeper_chat_ag_ui.ml	140	keeper	active	keeper_system	no	0
keeper_config.ml	555	keeper	active	keeper_system	no	5
keeper_contract.ml	116	keeper	active	keeper_system	no	13
