file,line,symbol,rhs,triage_class_guess,review_priority
lib/dashboard_tool_source_freshness.ml,75,coverage_gap_recovered,false,predicate_unclassified,medium
lib/dashboard_utils/dashboard_utils.ml,3,parse_iso_opt,None,parser_absent,low
lib/dashboard_utils/dashboard_utils.ml,84,is_health_warning,false,rejecter_safe,low
lib/dated_jsonl/dated_jsonl.ml,159,create,None,option_absent,low
lib/dated_jsonl/dated_jsonl.ml,164,create,None,option_absent,low
lib/dated_jsonl/dated_jsonl.ml,186,days_in_month,None,option_absent,low
lib/dated_jsonl/dated_jsonl.ml,196,substring_is_ascii_digits,false,rejecter_safe,low
lib/dated_jsonl/dated_jsonl.ml,220,parse_date,None,parser_absent,low
lib/dated_jsonl/dated_jsonl.ml,307,year_and_month_of_directory_name,None,option_absent,low
lib/dated_jsonl/dated_jsonl.ml,374,trim_whitespace,false,predicate_unclassified,medium
lib/eio_context/eio_context.ml,157,get_switch_opt,None,parser_absent,low
lib/eval_harness.ml,475,scenario_of_json,None,parser_absent,low
lib/exec/shell_ir_oracle.ml,57,assoc_opt,None,parser_absent,low
lib/failure_envelope.ml,72,operator_action_for_cause_code,None,option_absent,low
lib/failure_envelope.ml,141,optional_string,None,option_absent,low
lib/failure_envelope.ml,206,find_in_json,None,option_absent,low
lib/fd_accountant/fd_accountant.ml,33,kind_of_string,None,parser_absent,low
lib/fd_accountant/fd_accountant.ml,46,resource_error_of_exn,None,option_absent,low
lib/fs_compat/atomic_write.ml,722,reraise_fatal_or_cancelled,(),noop_side_effect,low
lib/fs_compat/capability_exact_read.ml,93,is_fatal,false,rejecter_safe,low
lib/fs_compat/capability_head.ml,183,reraise_fatal,(),noop_side_effect,low
lib/fs_compat/fd_cache.ml,16,close_silently,(),noop_side_effect,low
lib/fs_compat/fs_compat.ml,3363,append_private_jsonl_durable_locked_with_expected_end_offset_with_io,false,predicate_unclassified,medium
lib/fusion/fusion_orchestrator_judge_wave.ml,32,elapsed_since_t0,None,option_absent,low
lib/fusion_core/fusion_judge_parse.ml,64,opt_string,None,option_absent,low
lib/fusion_core/fusion_judge_parse.ml,87,parse_claim,None,parser_absent,low
lib/fusion_core/fusion_judge_parse.ml,94,parse_position,None,parser_absent,low
lib/fusion_core/fusion_judge_parse.ml,109,parse_contradiction,None,parser_absent,low
lib/fusion_core/fusion_judge_parse.ml,121,parse_coverage,None,parser_absent,low
lib/fusion_core/fusion_judge_parse.ml,128,parse_insight,None,parser_absent,low
lib/fusion_core/fusion_types.ml,386,fusion_topology_of_string,None,parser_absent,low
lib/gate/channel_gate_discord_state.ml,279,list_assoc_field,None,option_absent,low
lib/gate/channel_gate_imessage_state.ml,173,list_assoc_field,None,option_absent,low
lib/gate/discord_gateway_state.ml,309,field_int_opt,None,parser_absent,low
lib/gate/discord_gateway_state.ml,314,field_string_opt,None,parser_absent,low
lib/gate/discord_gateway_state.ml,319,field_bool_opt,None,parser_absent,low
lib/gate/discord_gateway_state.ml,361,mention_kind_of_prefix,None,option_absent,low
lib/gate/discord_gateway_state.ml,405,parse_frame,None,parser_absent,low
lib/gate/discord_gateway_state.ml,732,is_fatal_close_code,false,rejecter_safe,low
lib/gate/discord_gateway_state.ml,1135,handle_op_invalid_session,false,predicate_unclassified,medium
lib/gate/discord_rest_client.ml,73,field_opt,None,parser_absent,low
lib/gate/gate_protocol.ml,64,message_request_status_of_string,None,parser_absent,low
